Date,pos_META,pos_AAPL,pos_AMZN,pos_NFLX,pos_GOOG,ret_META,ret_AAPL,ret_AMZN,ret_NFLX,ret_GOOG
2015-12-09,1,0,0,1,0,-0.01774798291016144,-0.0,-0.0,-0.021893261420673937,-0.0
2015-12-10,1,0,0,1,0,0.007839275873687157,0.0,-0.0,-0.010386419628258037,-0.0
2015-12-11,0,0,1,0,1,-0.03130325239660814,-0.0,-0.0,-0.032544137017490926,-0.0
2015-12-14,0,0,1,0,1,0.0,-0.0,0.027743513137480136,0.0,0.012045294298789422
2015-12-15,0,0,1,0,1,-0.0,-0.0,0.001109544564889875,-0.0,-0.005844027368896443
2015-12-16,0,0,1,0,1,0.0,0.0,0.02600821552275545,0.0,0.019760551744661514
2015-12-17,0,0,1,0,1,-0.0,-0.0,-0.007576557278937912,-0.0,-0.011423257766999595
2015-12-18,0,0,1,0,0,-0.0,-0.0,-0.009707014879053677,-0.0,-0.013503767771069097
2015-12-21,0,0,1,0,0,0.0,0.0,0.0005570351622559144,-0.0,0.0
2015-12-22,0,0,1,0,0,0.0,-0.0,-0.0020465299978816853,-0.0,0.0
2015-12-23,0,0,1,0,0,-0.0,0.0,0.0008293795242544366,0.0,0.0
2015-12-24,0,0,1,0,0,0.0,-0.0,-0.0013711528431936681,-0.0,-0.0
2015-12-28,0,0,1,0,0,0.0,-0.0,0.018723839029316514,-0.0,0.0
2015-12-29,0,0,1,0,0,0.0,0.0,0.027799268721593773,0.0,0.0
2015-12-30,0,0,1,0,0,-0.0,-0.0,-0.00706090278764171,-0.0,-0.0
2015-12-31,0,0,1,0,0,-0.0,-0.0,-0.0191272416128917,-0.0,-0.0
2016-01-04,0,0,1,0,0,-0.0,0.0,-0.05755368113308179,-0.0,-0.0
2016-01-05,0,0,1,0,0,0.0,-0.0,-0.005023621850138049,-0.0,0.0
2016-01-06,0,0,1,0,0,0.0,-0.0,-0.001798738144714651,0.0,0.0
2016-01-07,0,0,0,0,0,-0.0,-0.0,-0.03905794191457823,-0.0,-0.0
2016-01-08,0,-1,0,0,0,-0.0,0.0,-0.0,-0.0,-0.0
2016-01-11,0,-1,0,0,0,0.0,-0.01619192425086835,0.0,0.0,0.0
2016-01-12,0,-1,0,0,0,0.0,-0.01451351085916519,0.0,0.0,0.0
2016-01-13,0,-1,0,0,0,-0.0,0.025710377727305334,-0.0,-0.0,-0.0
2016-01-14,0,-1,0,0,0,0.0,-0.021870676028825864,0.0,0.0,0.0
2016-01-15,0,-1,0,0,0,-0.0,0.02401490999365985,-0.0,-0.0,-0.0
2016-01-19,0,-1,0,0,0,0.0,0.004839321694470877,0.0,0.0,0.0
2016-01-20,0,-1,0,0,0,-0.0,-0.0013453332359911752,-0.0,-0.0,-0.0
2016-01-21,0,-1,0,0,0,-0.0,0.00506256078259959,0.0,-0.0,0.0
2016-01-22,1,0,0,-1,0,0.0,-0.05316715932165783,0.0,-0.0,0.0
2016-01-25,1,0,0,-1,0,-0.00949567897267245,-0.0,0.0,0.015885608168481724,-0.0
2016-01-26,1,0,0,-1,0,0.0034017311645626602,0.0,0.0,0.013014536720962977,0.0
2016-01-27,1,0,0,-1,0,-0.029689808931563366,-0.0,-0.0,0.06828171501735891,-0.0
2016-01-28,1,0,0,-1,0,0.15521452547566228,0.0,0.0,-0.03576524499898004,0.0
2016-01-29,1,0,0,-1,1,0.028411644473437025,0.0,-0.0,0.027221769140235663,0.0
2016-02-01,1,0,0,-1,1,0.025666057145155685,-0.0,-0.0,-0.024499129896760508,0.012181178985599894
2016-02-02,1,0,0,-1,1,-0.004170510216672807,-0.0,-0.0,0.02763310208647607,0.01682189911355092
2016-02-03,1,0,0,-1,1,-0.016752574643892792,0.0,-0.0,0.008197617417335268,-0.04930351707302372
2016-02-04,1,0,0,-1,1,-0.019522677274292466,0.0,0.0,0.011351099884785554,-0.02605394737982214
2016-02-05,0,0,-1,-1,0,-0.058104638427636246,-0.0,-0.0,0.07713742324787354,-0.03451942268141461
2016-02-08,0,0,-1,-1,0,-0.0,0.0,0.02794096833428339,-0.0064017245251348776,-0.0
2016-02-09,0,0,-1,-1,0,-0.0,-0.0,0.012354038596669725,-0.033725366885332564,-0.0
2016-02-10,0,0,-1,-1,0,0.0,-0.0,-0.017445590692097612,-0.02693602425178465,0.0
2016-02-11,0,0,-1,-1,0,0.0,-0.0,-0.02719783935448805,0.023742210814884923,-0.0
2016-02-12,0,0,-1,-1,0,0.0,0.0,-0.006470569128270265,-0.012159850264183758,-0.0
2016-02-16,0,0,-1,-1,0,-0.0,0.0,-0.02764850560431298,-0.018878735664442203,0.0
2016-02-17,0,0,-1,-1,0,0.0,0.0,-0.024947212086624093,-0.06412126770117998,0.0
2016-02-18,0,0,-1,-1,0,-0.0,-0.0,0.01703800505545594,0.045061251331782626,-0.0
2016-02-19,0,1,0,0,0,0.0,-0.0,-0.018857174827938916,0.013924130142348168,0.0
2016-02-22,0,1,0,0,0,0.0,0.008746749409397347,0.0,0.0,0.0
2016-02-23,0,1,0,0,0,-0.0,-0.0226053361604428,-0.0,-0.0,-0.0
2016-02-24,0,1,0,0,0,0.0,0.014890704973824276,0.0,0.0,0.0
2016-02-25,0,1,0,0,0,0.0,0.006867809149813109,0.0,0.0,0.0
2016-02-26,0,1,0,0,0,-0.0,0.001550479720927589,0.0,0.0,-0.0
2016-02-29,0,1,0,0,0,-0.0,-0.0022703372780100706,-0.0,-0.0,-0.0
2016-03-01,0,1,0,0,0,0.0,0.039714337601601146,0.0,0.0,0.0
2016-03-02,0,1,0,0,0,0.0,0.0021885852257661487,0.0,-0.0,0.0
2016-03-03,0,1,0,0,0,-0.0,0.007444379071640084,-0.0,0.0,-0.0
2016-03-04,1,1,0,0,1,-0.0,0.014876957568514149,-0.0,0.0,-0.0
2016-03-07,1,1,0,0,1,-0.02454091573790318,-0.011067068598118013,-0.0,-0.0,-0.022127094371721445
2016-03-08,1,1,0,0,0,0.0018915536354524587,-0.008245923142953027,-0.0,0.0,-0.0017118852484376834
2016-03-09,1,1,0,0,0,0.01491566255805421,0.0008909029144621439,-0.0,0.0,0.0
2016-03-10,1,1,0,0,0,-0.0017672703894421327,0.0004943484919961438,-0.0,-0.0,0.0
2016-03-11,1,1,0,0,0,0.019474390798073005,0.010773665698398549,0.0,0.0,0.0
2016-03-14,1,1,0,0,0,0.004387091197444182,0.002542744936477881,0.0,0.0,0.0
2016-03-15,1,1,0,0,0,0.007097953986419547,0.02009375291835136,0.0,-0.0,-0.0
2016-03-16,1,1,0,0,0,0.01364430162710173,0.013291376246513664,-0.0,0.0,0.0
2016-03-17,1,1,0,0,0,-0.010340595100348127,-0.0016041923485641263,-0.0,0.0,0.0
2016-03-18,1,1,1,1,0,0.0038732702108135175,0.0011340503258070456,-0.0,0.0,-0.0
2016-03-21,1,1,1,1,0,0.003589013803311225,-9.443682204379744e-05,0.003441505326742922,-0.0005934057195257081,0.0
2016-03-22,1,1,1,1,0,0.0035761788480623835,0.0076482002490987355,0.011733303365531578,-0.012072048784641853,-0.0
2016-03-23,1,1,1,1,0,0.0025835197046890634,-0.005528586403814151,0.016325308843260222,-0.002504006502102807,-0.0
2016-03-24,1,1,1,1,0,0.004531848068939137,-0.00433423060872562,0.023383545256862037,-0.012350595167871181,-0.0
2016-03-28,1,1,1,1,0,0.005661135565221409,-0.004542418403476467,-0.005283449127727047,0.0289751774749496,-0.0
2016-03-29,1,1,1,1,0,0.02154983617792383,0.02367148032874411,0.024126133219094736,0.028850886230205486,0.0
2016-03-30,1,1,1,1,0,-0.01239887757863245,0.017458780762695802,0.008133194378816988,-0.018630508625582798,0.0
2016-03-31,1,1,1,1,0,-0.005231147476690623,-0.005202524831871225,-0.00843510117909696,0.0003914366823729587,-0.0
2016-04-01,1,1,1,1,0,0.017178043961244338,0.009175361935906512,0.008186781113585173,0.033943005745516786,0.0
2016-04-04,1,1,1,1,0,-0.030242849202051003,0.01027365539858116,-0.008872151103062609,-0.012771982148515493,-0.0
2016-04-05,1,1,1,1,0,-0.0029320470857202574,-0.011789117850254605,-0.011884924360712312,0.005654086975683814,-0.0
2016-04-06,1,1,1,1,0,0.013277372443023738,0.010472679429210485,0.0271948990544153,-0.001048223821158989,0.0
2016-04-07,1,1,1,1,0,-0.0006155453902280117,-0.021809743092253142,-0.017688656382376045,-0.0036249630465992055,-0.0
2016-04-08,0,0,1,1,1,-0.026487186162544307,0.0011053448725566462,0.005359848498285968,-0.00612732798800919,-0.0
2016-04-11,0,0,1,1,1,-0.0,0.0,0.0022367881300682235,-0.010885244966701402,-0.004126543023838303
2016-04-12,0,0,1,1,1,0.0,0.0,0.012149125841996566,0.041877707820196175,0.009496033084017697
2016-04-13,0,0,1,1,1,-0.0,0.0,0.019314572589733903,0.02495791816379911,0.01161363417868988
2016-04-14,0,0,1,1,1,0.0,0.0,0.009645137346663946,0.00702231310853807,0.0019688378553146535
2016-04-15,0,0,1,1,1,-0.0,-0.0,0.008280304996334698,0.009871436201415396,0.007700574070423238
2016-04-18,0,0,1,1,1,0.0,-0.0,0.015114463162838598,-0.02788988028672179,0.010026365410152671
2016-04-19,0,0,1,0,1,0.0,-0.0,-0.011725803630660003,-0.12970484308186714,-0.016540483658167293
2016-04-20,0,0,1,0,1,0.0,0.0,0.008106368266093344,0.0,-0.0016712607743490926
2016-04-21,0,0,1,0,1,0.0,-0.0,-0.003143830280532889,-0.0,0.008596249386248367
2016-04-22,0,0,1,0,0,-0.0,-0.0,-0.016640241877203477,0.0,-0.05317876763255558
2016-04-25,0,0,1,0,0,-0.0,-0.0,0.00918613540423352,-0.0,0.0
2016-04-26,0,0,1,0,0,-0.0,-0.0,-0.014883411409137182,-0.0,-0.0
